seq_no,piece,PC,resolveDir
21,0,2147490284,1,
132,0,4245076,1,
148,0,3919912,1,
151,0,3920844,0,
159,0,3920968,0,
157,0,3920956,1,
182,0,4316164,1,
193,0,3909720,0,
195,0,3909728,0,
206,0,3909772,0,
207,0,3909776,1,
209,0,3909876,0,
212,0,3909888,0,
213,0,3909892,1,
232,0,4316164,1,
248,0,3711692,0,
250,0,3711700,1,
261,0,4316164,1,
278,0,3896788,1,
283,0,3896844,0,
309,0,4316164,1,
286,0,3896856,1,
294,0,3897056,1,
296,0,3897104,1,
325,0,3909428,0,
332,0,3909456,0,
341,0,3909492,0,
348,0,3909520,1,
359,0,3909668,0,
371,0,4316164,1,
402,0,3899576,1,
406,0,3899696,0,
416,0,3899736,1,
427,0,4316164,1,
469,0,3923128,0,
473,0,3923236,0,
481,0,3924180,1,
496,0,3925036,1,
522,0,3395696,0,
528,0,3395716,1,
535,0,3395752,0,
538,0,3395764,1,
539,0,3395800,0,
540,0,3395804,1,
545,0,3395836,0,
551,0,3395860,0,
557,0,3395884,1,
564,0,3396188,1,
566,0,3399268,1,
568,0,3399316,1,
571,0,3399620,0,
573,0,3399628,0,
576,0,3399640,1,
588,0,3399912,0,
589,0,3399916,0,
604,0,3400292,1,
596,0,3399944,1,
601,0,3400280,0,
609,0,3401120,0,
610,0,3401124,1,
611,0,3401272,1,
631,0,3923172,0,
633,0,3923180,0,
642,0,3923212,1,
637,0,3923196,0,
645,0,3923236,0,
662,0,3902260,1,
673,0,3902316,1,
674,0,3902668,1,
684,0,3923672,0,
686,0,3923524,1,
689,0,3923592,1,
693,0,3923644,1,
705,0,3924360,0,
711,0,3924384,1,
715,0,3924680,0,
718,0,3924692,0,
724,0,3925160,1,
727,0,3925272,0,
726,0,3925268,0,
729,0,3925280,1,
753,0,3289208,1,
752,0,3289204,0,
757,0,3289348,0,
763,0,3289372,1,
761,0,3289364,0,
775,0,3926220,1,
776,0,3926272,0,
779,0,3926284,0,
789,0,3926492,1,
815,0,4316164,1,
840,0,3918932,1,
844,0,3919076,1,
857,0,3919452,0,
856,0,3919428,1,
863,0,3919496,0,
867,0,3919512,0,
869,0,3919520,1,
876,0,3919616,1,
878,0,3919572,1,
888,0,3919584,1,
890,0,3919692,1,
893,0,3919736,1,
885,0,3919648,1,
935,0,4240524,0,
940,0,4240544,0,
944,0,4241120,0,
948,0,4241136,0,
954,0,4241160,0,
957,0,4241172,1,
967,0,4241316,0,
974,0,4241344,0,
1004,0,4241456,1,
1011,0,4241896,0,
1018,0,4241924,0,
1026,0,4242100,1,
1028,0,4242184,1,
1054,0,4242368,1,
1057,0,4242424,0,
1064,0,4242452,0,
1069,0,4243296,0,
1083,0,4243344,1,
1110,0,4253228,1,
1133,0,4253352,1,
1157,0,4253616,1,
1203,0,4253860,0,
1230,0,4254004,0,
1234,0,4254024,0,
1246,0,4258440,0,
1254,0,4253860,0,
1285,0,4254024,0,
1281,0,4254004,0,
1296,0,4258400,1,
1299,0,4269236,1,
1300,0,4269360,1,
1306,0,4277824,1,
1308,0,4277992,1,
1309,0,4278320,1,
1326,0,4243404,1,
1328,0,4243628,1,
1331,0,4243648,0,
1350,0,4316864,0,
1358,0,4316896,0,
1374,0,4316976,0,
1379,0,4316992,1,
1385,0,4317032,0,
1393,0,4322868,0,
1396,0,4322880,0,
1402,0,4316940,1,
1423,0,4243672,1,
1427,0,4245060,0,
1446,0,4316864,0,
1454,0,4316896,0,
1470,0,4316976,0,
1475,0,4316992,0,
1479,0,4317004,1,
1485,0,4317032,0,
1504,0,4252976,1,
1505,0,4252984,1,
1513,0,4253132,1,
1523,0,4316940,1,
1558,0,3919912,1,
1542,0,4245076,1,
1561,0,3920844,0,
1569,0,3920968,0,
1567,0,3920956,1,
1592,0,4316164,1,
1603,0,3909720,0,
1642,0,4316164,1,
1605,0,3909728,0,
1617,0,3909776,1,
1619,0,3909876,0,
1616,0,3909772,0,
1623,0,3909892,1,
1658,0,3711692,0,
1622,0,3909888,0,
1660,0,3711700,1,
1671,0,4316164,1,
1688,0,3896788,1,
1693,0,3896844,0,
1696,0,3896856,1,
1704,0,3897056,1,
1706,0,3897104,1,
1719,0,4316164,1,
1781,0,4316164,1,
1812,0,3899576,1,
1735,0,3909428,0,
1751,0,3909492,0,
1769,0,3909668,0,
1742,0,3909456,0,
1816,0,3899696,0,
1758,0,3909520,1,
1826,0,3899736,1,
1837,0,4316164,1,
1879,0,3923128,0,
1883,0,3923236,0,
1906,0,3925036,1,
1945,0,3395752,0,
1891,0,3924180,1,
1932,0,3395696,0,
1949,0,3395800,0,
1938,0,3395716,1,
1948,0,3395764,1,
1950,0,3395804,1,
1967,0,3395884,1,
1961,0,3395860,0,
1978,0,3399316,1,
1981,0,3399620,0,
1955,0,3395836,0,
1974,0,3396188,1,
1976,0,3399268,1,
1983,0,3399628,0,
1986,0,3399640,1,
1999,0,3399916,0,
2011,0,3400280,0,
1998,0,3399912,0,
2014,0,3400292,1,
2006,0,3399944,1,
2019,0,3401120,0,
2020,0,3401124,1,
2021,0,3401272,1,
2041,0,3923172,0,
2052,0,3923212,1,
2043,0,3923180,0,
2055,0,3923236,0,
2047,0,3923196,0,
2072,0,3902260,1,
2084,0,3902668,1,
2083,0,3902316,1,
2094,0,3923672,0,
2096,0,3923524,1,
2099,0,3923592,1,
2103,0,3923644,1,
2115,0,3924360,0,
2121,0,3924384,1,
2128,0,3924692,0,
2125,0,3924680,0,
2136,0,3925268,0,
2137,0,3925272,0,
2134,0,3925160,1,
2139,0,3925280,1,
2163,0,3289208,1,
2162,0,3289204,0,
2167,0,3289348,0,
2173,0,3289372,1,
2185,0,3926220,1,
2171,0,3289364,0,
2186,0,3926272,0,
2189,0,3926284,0,
2199,0,3926492,1,
2225,0,4316164,1,
2254,0,3919076,1,
2250,0,3918932,1,
2266,0,3919428,1,
2267,0,3919452,0,
2279,0,3919520,1,
2286,0,3919616,1,
2277,0,3919512,0,
2288,0,3919572,1,
2303,0,3919736,1,
2298,0,3919584,1,
2300,0,3919692,1,
2295,0,3919648,1,
2345,0,4240524,0,
2350,0,4240544,0,
2273,0,3919496,0,
2354,0,4241120,0,
2364,0,4241160,0,
2358,0,4241136,0,
2367,0,4241172,1,
2421,0,4241896,0,
2384,0,4241344,0,
2428,0,4241924,0,
2377,0,4241316,0,
2414,0,4241456,1,
2438,0,4242184,1,
2436,0,4242100,1,
2464,0,4242368,1,
2467,0,4242424,0,
2474,0,4242452,0,
2479,0,4243296,0,
2520,0,4253228,1,
2493,0,4243344,1,
2567,0,4253616,1,
2613,0,4253860,0,
2543,0,4253352,1,
2644,0,4254024,0,
2640,0,4254004,0,
2656,0,4258440,0,
2664,0,4253860,0,
2691,0,4254004,0,
2695,0,4254024,0,
2709,0,4258412,0,
2717,0,4253860,0,
2748,0,4254024,0,
2744,0,4254004,0,
2706,0,4258400,0,
2756,0,4257392,0,
2760,0,4257408,0,
2763,0,4257420,0,
2767,0,4278384,1,
2776,0,4277992,1,
2773,0,4278472,0,
2777,0,4278320,0,
2801,0,4243420,1,
2803,0,4243448,1,
2797,0,4243404,0,
2807,0,4243468,0,
2825,0,4316864,0,
2833,0,4316896,0,
2849,0,4316976,0,
2854,0,4316992,1,
2860,0,4317032,0,
2868,0,4322868,0,
2871,0,4322880,0,
2877,0,4316940,0,
2886,0,4316976,0,
2891,0,4316992,0,
2895,0,4317004,1,
2901,0,4317032,0,
2920,0,4252976,1,
2921,0,4252984,1,
2929,0,4253132,1,
2939,0,4316940,1,
2959,0,4243484,1,
2960,0,4243836,0,
2981,0,4252108,1,
2985,0,4252244,1,
2988,0,4252304,0,
2996,0,4252336,0,
2993,0,4252324,0,
3013,0,4252404,0,
3004,0,4252368,0,
3008,0,4252384,0,
3033,0,4337980,0,
3036,0,4337992,0,
3039,0,4338004,0,
3046,0,4338028,0,
3059,0,4338080,1,
3050,0,4338044,0,
3063,0,4338124,0,
3065,0,4338132,0,
3071,0,4338156,1,
3072,0,4338364,1,
3074,0,4338416,1,
3091,0,4252424,1,
3107,0,4410468,0,
3113,0,4410492,1,
3115,0,4410664,1,
3118,0,4410680,1,
3120,0,4410700,1,
3123,0,4410780,0,
3184,0,3919912,0,
3196,0,3919956,0,
3199,0,3919968,1,
3202,0,3920044,0,
3203,0,3920048,1,
3206,0,3920320,1,
3211,0,3921044,1,
3235,0,4316164,1,
3246,0,3909720,0,
3248,0,3909728,0,
3260,0,3909776,1,
3262,0,3909876,0,
3259,0,3909772,0,
3266,0,3909892,0,
3265,0,3909888,0,
3270,0,3909908,1,
3282,0,4316164,1,
3342,0,3840524,0,
3344,0,3840532,1,
3364,0,3845184,1,
3368,0,3845244,1,
3381,0,3845380,1,
3387,0,3845420,0,
3405,0,4316864,0,
3413,0,4316896,0,
3429,0,4316976,0,
3434,0,4316992,0,
3438,0,4317004,1,
3444,0,4317032,0,
3455,0,4316940,1,
3484,0,4316164,1,
3520,0,3896612,1,
3531,0,4316164,1,
3553,0,3896844,0,
3556,0,3896856,1,
3564,0,3897056,1,
3566,0,3897104,1,
